full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,estimated_damage,estimated_damage_adjusted
嘉義市東區安業里,67,2022-10-01 09:00:00,2022-10-01 10:27:48,294.2,295.1,294.9,547420.4096627856,147819342.00719956,6668380108.664064
嘉義市東區林森里,76,2021-02-26 17:07:49,2021-02-26 17:32:49,311.9,312.0,311.9166666666667,362915.5018103389,99485790.61619201,4487971994.946516
嘉義市東區林森里,77,2021-03-02 11:17:50,2021-03-03 14:46:54,312.5,313.1,312.8483383685801,362915.5018103389,99548477.71252945,4490799915.708511
嘉義市東區頂寮里,115,2021-02-25 16:27:42,2021-02-25 16:27:42,313.2,313.2,313.2,307677.3401599672,84416594.93732496,3808175133.7642407
嘉義市東區頂寮里,116,2021-02-26 17:07:42,2021-02-26 17:32:42,313.0,313.0,313.0,307677.3401599672,84405186.26155183,3807660469.136739
嘉義市東區頂寮里,117,2021-03-02 11:16:41,2021-03-03 14:46:41,313.0,313.5,313.2848942598187,307677.3401599672,84421437.59275131,3808393594.127274
嘉義縣六腳鄉六斗村,287,2020-05-06 22:38:20,2020-05-06 22:38:20,78.0,78.0,78.0,3435281.8033469953,498481375.4691905,22487336525.664913
嘉義縣六腳鄉六斗村,286,2020-04-25 06:23:17,2020-04-25 06:23:17,339.6,339.6,339.6,3435281.8033469953,959343117.3212001,43277587858.67743
嘉義縣六腳鄉六斗村,285,2020-04-22 07:19:17,2020-04-22 07:19:17,339.5,339.5,339.5,3435281.8033469953,959279427.1965659,43274714689.61537
嘉義縣六腳鄉六斗村,284,2020-04-13 21:26:57,2020-04-13 21:26:57,75.7,75.7,75.7,3435281.8033469953,490668720.1807466,22134894454.05313
嘉義縣六腳鄉六斗村,280,2020-03-23 04:14:57,2020-03-23 04:14:57,77.4,77.4,77.4,3435281.8033469953,496443291.48090076,22395395115.67923
