district,year,estimated_damage_adjusted
嘉義市東區,2021,1371380150660.3022
嘉義市東區,2022,508425132630.3642
嘉義市西區,2021,585993002071.044
嘉義市西區,2022,182309895722.46472
嘉義縣中埔鄉,2022,200303779627.0994
嘉義縣六腳鄉,2020,5242761182511.9
嘉義縣六腳鄉,2021,473818602681.87695
嘉義縣大林鎮,2021,1134576578160.9736
嘉義縣大林鎮,2022,452994692702.9267
嘉義縣太保市,2021,79076267398.59901
嘉義縣太保市,2022,88056272764.7371
嘉義縣布袋鎮,2020,80569944382.34875
嘉義縣布袋鎮,2021,249208881799.44043
嘉義縣布袋鎮,2022,168508027617.8452
嘉義縣新港鄉,2021,296204838195.3827
嘉義縣新港鄉,2022,89145641927.32909
嘉義縣朴子市,2021,61971854975.74816
嘉義縣朴子市,2022,67748892303.99587
嘉義縣東石鄉,2020,37929474428424.36
嘉義縣東石鄉,2021,107422352850.87114
嘉義縣東石鄉,2022,1114116822633.7744
嘉義縣民雄鄉,2021,680218638226.1091
嘉義縣民雄鄉,2022,224627644610.43307
嘉義縣水上鄉,2022,172812689855.81943
嘉義縣竹崎鄉,2021,544898874487.9914
嘉義縣竹崎鄉,2022,503188174390.76056
嘉義縣義竹鄉,2022,110883569073.94403
嘉義縣鹿草鄉,2022,76722098719.7469
基隆市七堵區,2021,491342348652.9273
基隆市七堵區,2022,636980491855.6744
基隆市中山區,2021,121925472706.5274
基隆市中山區,2022,37139920229.03418
基隆市中正區,2021,21506999987.298386
基隆市仁愛區,2021,16594433936.067219
基隆市信義區,2021,57562998219.86713
基隆市安樂區,2021,111296321269.172
基隆市安樂區,2022,91007100563.11049
基隆市暖暖區,2021,189363593986.4417
宜蘭縣五結鄉,2022,256777662760.91083
宜蘭縣壯圍鄉,2022,250796403494.81042
屏東縣佳冬鄉,2021,391602594549.0449
屏東縣內埔鄉,2021,106117970439.66884
屏東縣南州鄉,2021,83123136016.73589
屏東縣新園鄉,2021,938037608116.7593
屏東縣東港鎮,2021,544008669146.1376
屏東縣枋寮鄉,2021,106867230242.50008
屏東縣林邊鄉,2021,65136889243.79419
屏東縣長治鄉,2021,45794317821.5845
屏東縣鹽埔鄉,2021,587446010027.338
彰化縣二林鎮,2021,320505858947.7898
彰化縣伸港鄉,2021,26254914912.279606
彰化縣和美鎮,2019,87363386723.72197
彰化縣和美鎮,2021,381924412199.5115
彰化縣和美鎮,2022,373279369495.8642
彰化縣員林市,2019,432147097398.11035
彰化縣員林市,2021,487919995469.76373
彰化縣埔心鄉,2019,53606346778.46607
彰化縣埔心鄉,2021,42174765581.40187
彰化縣埔鹽鄉,2021,94470510926.7213
彰化縣大城鄉,2021,1186568423808.2542
彰化縣大城鄉,2022,81574071119.68294
彰化縣大村鄉,2021,45080289577.02285
彰化縣彰化市,2019,544922526116.6383
彰化縣彰化市,2021,660314509390.5114
彰化縣彰化市,2022,564414001657.3844
彰化縣永靖鄉,2019,130310445889.93716
彰化縣永靖鄉,2021,184009374157.97455
彰化縣永靖鄉,2022,55097705309.16806
彰化縣溪州鄉,2021,87169762529.40675
彰化縣溪湖鎮,2019,67078128184.47795
彰化縣溪湖鎮,2021,56886895826.759315
彰化縣溪湖鎮,2022,37020334035.99036
彰化縣社頭鄉,2019,71031681526.75586
彰化縣社頭鄉,2021,42256361041.444115
彰化縣秀水鄉,2021,65795728705.124115
彰化縣花壇鄉,2019,93056193223.36964
彰化縣花壇鄉,2021,47875806996.29913
彰化縣芳苑鄉,2019,464531912300.15063
彰化縣芳苑鄉,2020,97442473410.89287
彰化縣芳苑鄉,2021,1206759364177.8406
彰化縣芳苑鄉,2022,426249183377.71747
彰化縣鹿港鎮,2019,134756886604.46117
彰化縣鹿港鎮,2021,181859086886.06192
新北市三峽區,2021,519970277355.8964
新北市三重區,2019,25237964412.604797
新北市三重區,2021,34486122604.894905
新北市中和區,2019,22336507084.389183
新北市五股區,2021,491224272720.87195
新北市五股區,2022,635177294693.4844
新北市八里區,2021,42904317026.82075
新北市八里區,2022,130416635359.56363
新北市土城區,2021,106382800978.44225
新北市新店區,2021,241467063787.97485
新北市板橋區,2019,26047790487.77587
新北市板橋區,2021,144590721124.6004
新北市樹林區,2021,277016331530.0049
新北市永和區,2019,6967924479.270435
新北市永和區,2022,11437017990.39006
新北市汐止區,2019,115212936234.23418
新北市汐止區,2020,82501590255.69032
新北市汐止區,2021,1059098645549.896
新北市汐止區,2022,898585670267.9946
新北市泰山區,2021,44041896043.3437
新北市泰山區,2022,30204134131.38451
新北市蘆洲區,2021,30444558026.938187
新北市鶯歌區,2019,24553699716.656216
新北市鶯歌區,2021,43976059844.089355
新竹市北區,2019,19326657302.374184
新竹市北區,2021,121249783205.19666
新竹市北區,2022,253602568693.5212
新竹市東區,2021,342088466940.4251
新竹市東區,2022,762007560853.5251
新竹市香山區,2021,354720825727.403
新竹市香山區,2022,177808323264.0808
桃園市中壢區,2022,1184238854036.8633
桃園市八德區,2022,496482207652.214
桃園市大園區,2021,411094377040.54456
桃園市大園區,2022,1374716747268.5776
桃園市平鎮區,2022,302651727479.0702
桃園市新屋區,2022,585908443568.6129
桃園市桃園區,2021,43459908019.640076
桃園市桃園區,2022,483089118079.7095
桃園市楊梅區,2022,1309912447294.0977
桃園市蘆竹區,2022,1128245680227.2646
桃園市觀音區,2021,149131212885.53137
桃園市龍潭區,2021,94566797191.51634
桃園市龍潭區,2022,1088997722555.9922
桃園市龜山區,2021,78838951671.83832
桃園市龜山區,2022,1041064245651.6047
臺中市中區,2021,1803011907.910326
臺中市北區,2021,10485591268.792368
臺中市北區,2022,10191602728.545853
臺中市北屯區,2021,82592349730.2863
臺中市南屯區,2021,156022284703.6835
臺中市南屯區,2022,160450937199.07526
臺中市大安區,2022,45548620076.24352
臺中市大肚區,2021,188118601952.5909
臺中市大肚區,2022,275742495788.693
臺中市大里區,2021,81328640485.63544
臺中市大里區,2022,399593639213.6698
臺中市太平區,2021,759134363986.5312
臺中市太平區,2022,666719242574.0538
臺中市東區,2021,12099615235.328459
臺中市東區,2022,22330184214.79317
臺中市沙鹿區,2022,232831155538.68082
臺中市烏日區,2021,339994694302.22736
臺中市烏日區,2022,256033385065.72424
臺中市神岡區,2022,399524800368.3793
臺中市西屯區,2021,197463056355.89502
臺中市豐原區,2021,300253849834.87524
臺中市豐原區,2022,531831042314.24347
臺南市七股區,2022,1671566729587.908
臺南市下營區,2022,47145822961.36586
臺南市中西區,2021,10312545575.276936
臺南市仁德區,2019,1879229665783.1494
臺南市仁德區,2021,2604398828965.096
臺南市仁德區,2022,3980521940936.267
臺南市北區,2019,243101321649.9022
臺南市北區,2020,24889495019.214844
臺南市北區,2021,179087900800.17905
臺南市北區,2022,42695340271.67313
臺南市北門區,2019,49523184497.23026
臺南市北門區,2021,179711884483.6161
臺南市北門區,2022,1622904755122.7395
臺南市南區,2019,1157827928392.2341
臺南市南區,2020,3330978054446.9106
臺南市南區,2021,140551137653.5066
臺南市善化區,2021,84268895022.56212
臺南市大內區,2021,336765970999.8113
臺南市大內區,2022,84172870433.48523
臺南市學甲區,2021,64190185305.82608
臺南市安南區,2019,571823364516.6094
臺南市安南區,2020,2260562740603.2246
臺南市安南區,2021,915536664360.0812
臺南市安南區,2022,356608811237.7663
臺南市安定區,2022,136816692476.46951
臺南市官田區,2021,114930490356.78694
臺南市將軍區,2019,47205241540.04742
臺南市將軍區,2021,70759376370.96715
臺南市後壁區,2021,228636104579.2209
臺南市後壁區,2022,299914933253.9331
臺南市新市區,2021,189750803443.9265
臺南市新營區,2021,49810043256.01107
臺南市新營區,2022,89821389478.05276
臺南市東區,2019,72531254844.05252
臺南市東區,2021,20892412401.19344
臺南市東區,2022,15882047419.076525
臺南市歸仁區,2019,346920931681.2647
臺南市歸仁區,2020,78019213258.1913
臺南市歸仁區,2021,90431360821.99445
臺南市永康區,2019,286612122161.7622
臺南市永康區,2020,2968329340831.9565
臺南市永康區,2021,175257862446.57135
臺南市永康區,2022,445002377197.2012
臺南市白河區,2021,1779309726169.3567
臺南市白河區,2022,459322958055.1814
臺南市西港區,2021,39964229142.582275
臺南市鹽水區,2019,255343542660.74036
臺南市鹽水區,2021,96830728177.41464
臺南市麻豆區,2021,171449687789.2563
臺南市麻豆區,2022,186790075882.96466
花蓮縣吉安鄉,2022,149134789282.5315
苗栗縣三義鄉,2021,453564640959.7947
苗栗縣通霄鎮,2021,655367361315.986
雲林縣二崙鄉,2019,212286582693.92603
雲林縣二崙鄉,2021,200980224264.9263
雲林縣元長鄉,2019,1070274483176.4039
雲林縣北港鎮,2019,687838454589.9498
雲林縣北港鎮,2021,319910224976.9611
雲林縣口湖鄉,2019,483165790873.62866
雲林縣口湖鄉,2021,2196212324194.3267
雲林縣古坑鄉,2019,2318538230243.711
雲林縣古坑鄉,2021,268540915524.0204
雲林縣四湖鄉,2019,1149697406426.4092
雲林縣四湖鄉,2021,860028575819.3599
雲林縣土庫鎮,2019,96802543995.18262
雲林縣大埤鄉,2019,774120970638.2699
雲林縣大埤鄉,2021,234296335505.8552
雲林縣斗六市,2019,294099806411.1538
雲林縣斗南鎮,2019,79586152625.66219
雲林縣東勢鄉,2021,64468915551.28218
雲林縣林內鄉,2021,57423119300.487915
雲林縣水林鄉,2019,816325392831.3555
雲林縣水林鄉,2021,908231782803.0657
雲林縣臺西鄉,2019,197147545562.32855
雲林縣臺西鄉,2021,897510482414.2452
雲林縣莿桐鄉,2019,1631166684134.0327
雲林縣莿桐鄉,2021,165951528815.14398
雲林縣虎尾鎮,2019,1082597315723.3597
雲林縣虎尾鎮,2021,1136422671885.9663
雲林縣褒忠鄉,2021,128396332955.3951
雲林縣西螺鎮,2019,1167002954127.189
雲林縣西螺鎮,2021,505980712495.95154
雲林縣西螺鎮,2022,210801141218.524
雲林縣麥寮鄉,2019,252879282673.54327
高雄市三民區,2021,300416952181.51306
高雄市三民區,2022,88040321335.38657
高雄市仁武區,2021,975008481811.1877
高雄市仁武區,2022,49691335043.11431
高雄市前金區,2021,3935257984.027995
高雄市前鎮區,2021,307921100887.2703
高雄市前鎮區,2022,99861773890.30763
高雄市大寮區,2021,1162969985141.4502
高雄市大樹區,2021,114127286811.76451
高雄市大社區,2022,99982249747.19899
高雄市小港區,2021,245524311573.64233
高雄市小港區,2022,519680457211.08386
高雄市岡山區,2021,565498271965.4203
高雄市岡山區,2022,736019779102.0219
高雄市左營區,2021,302073880353.27606
高雄市左營區,2022,235298685856.357
高雄市彌陀區,2021,28179015158.25156
高雄市彌陀區,2022,86624379930.92146
高雄市林園區,2021,313979111610.51746
高雄市楠梓區,2021,116629818035.33344
高雄市楠梓區,2022,572294362552.7582
高雄市橋頭區,2022,102220712969.84367
高雄市永安區,2021,308308866332.50415
高雄市燕巢區,2021,235935704256.4147
高雄市美濃區,2021,368769290228.6648
高雄市美濃區,2022,244504824032.01306
高雄市苓雅區,2021,40915249428.175156
高雄市路竹區,2021,863871476058.0837
高雄市鳥松區,2021,331706041978.12616
高雄市鳥松區,2022,99374660647.22795
高雄市鳳山區,2021,214011129413.1549
高雄市鼓山區,2021,184612248752.40497
