full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,county,town,vil
嘉義市東區太平里,15,2021-06-01 02:10:00,2021-06-01 02:30:00,5.2,15.0,10.966666666666667,722320.8209489878,嘉義市,東區,太平里
嘉義市東區太平里,16,2021-06-12 16:50:00,2021-06-12 17:10:00,6.5,24.9,13.4,722320.8209489878,嘉義市,東區,太平里
嘉義市東區太平里,24,2022-08-04 16:05:00,2022-08-04 17:00:00,6.4,30.7,23.366666666666664,722320.8209489878,嘉義市,東區,太平里
嘉義市東區安寮里,39,2022-08-04 16:02:00,2022-08-04 17:30:00,6.9,37.8,31.425,326979.3592050104,嘉義市,東區,安寮里
嘉義市東區安寮里,37,2022-06-29 13:44:00,2022-06-29 14:24:00,5.0,33.5,24.8875,326979.3592050104,嘉義市,東區,安寮里
嘉義市東區安寮里,43,2022-11-21 16:37:00,2022-11-21 16:37:00,10.5,10.5,10.5,326979.3592050104,嘉義市,東區,安寮里
嘉義市東區安寮里,33,2021-08-02 10:14:00,2021-08-02 12:34:00,7.3,32.5,28.857692307692307,326979.3592050104,嘉義市,東區,安寮里
嘉義市東區安寮里,29,2021-05-21 15:34:00,2021-05-21 15:34:00,10.2,10.2,10.2,326979.3592050104,嘉義市,東區,安寮里
嘉義市東區安寮里,34,2021-08-25 10:31:00,2021-08-25 10:31:00,11.1,11.1,11.1,326979.3592050104,嘉義市,東區,安寮里
嘉義市東區安業里,67,2022-10-01 09:00:00,2022-10-01 10:27:00,294.2,295.1,294.9,547420.4096627856,嘉義市,東區,安業里
嘉義市東區安業里,45,2021-05-21 14:56:00,2021-05-21 14:58:00,10.3,10.5,10.4,547420.4096627856,嘉義市,東區,安業里
嘉義市東區安業里,54,2021-07-22 15:22:00,2021-07-22 15:22:00,10.5,10.5,10.5,547420.4096627856,嘉義市,東區,安業里
嘉義市東區安業里,56,2021-08-02 09:53:00,2021-08-02 16:13:00,5.4,44.9,33.068518518518516,547420.4096627856,嘉義市,東區,安業里
嘉義市東區安業里,57,2021-08-07 02:16:00,2021-08-07 02:56:00,4.7,13.7,10.022222222222222,547420.4096627856,嘉義市,東區,安業里
嘉義市東區安業里,61,2022-06-29 13:50:00,2022-06-29 14:30:00,9.3,18.5,15.1,547420.4096627856,嘉義市,東區,安業里
嘉義市東區安業里,63,2022-08-04 16:00:00,2022-08-04 18:00:00,6.0,28.9,20.846666666666668,547420.4096627856,嘉義市,東區,安業里
嘉義市東區林森里,83,2022-08-04 16:30:00,2022-08-04 17:44:00,9.4,38.2,25.735714285714288,362915.5018103389,嘉義市,東區,林森里
嘉義市東區林森里,78,2021-03-17 10:44:00,2021-03-17 10:56:00,12.1,12.3,12.200000000000001,362915.5018103389,嘉義市,東區,林森里
嘉義市東區林森里,76,2021-02-26 17:07:00,2021-02-26 17:32:00,311.9,312.0,311.9166666666667,362915.5018103389,嘉義市,東區,林森里
嘉義市東區林森里,77,2021-03-02 11:17:00,2021-03-03 14:46:00,312.5,313.1,312.8483383685801,362915.5018103389,嘉義市,東區,林森里
嘉義市東區過溝里,99,2021-03-04 10:53:00,2021-03-04 10:53:00,12.4,12.4,12.4,175425.63463309867,嘉義市,東區,過溝里
嘉義市東區過溝里,105,2021-08-02 10:25:00,2021-08-02 12:00:00,5.9,34.3,20.069230769230767,175425.63463309867,嘉義市,東區,過溝里
嘉義市東區過溝里,108,2022-08-04 16:08:00,2022-08-04 17:00:00,8.6,39.1,29.814285714285713,175425.63463309867,嘉義市,東區,過溝里
